Parameter,Multiplier,Total_Cost
Transport Cost,0.5,740760.248740494
Transport Cost,0.8,749669.1194536602
Transport Cost,1.0,755620.9334848652
Transport Cost,1.2,761525.4212026543
Transport Cost,1.5,770243.1092946316
Transport Cost,2.0,784872.1288951566
Fixed Order Cost,0.5,749450.451376749
Fixed Order Cost,0.8,753135.2249143525
Fixed Order Cost,1.0,755620.9334848652
Fixed Order Cost,1.2,757818.2101048966
Fixed Order Cost,1.5,761600.0208072846
Fixed Order Cost,2.0,767489.367049396
Shortage Penalty,0.5,755625.7401005368
Shortage Penalty,0.8,755625.7401005368
Shortage Penalty,1.0,755620.9334848652
Shortage Penalty,1.2,755629.3806757572
Shortage Penalty,1.5,755617.0862640295
Shortage Penalty,2.0,755620.9334848652
